taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
508,467,0,467,2024-06-07T21:00:10.985GMT,39,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],10,1446000,19,3507000,4834,5,0,0,0,0,0,0,0,0,0,10,0,0,0,5590,999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
311,270,0,270,2024-06-07T21:00:10.392GMT,35,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1325000,18,3902000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5936,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8.0
1695,1654,0,1654,2024-06-07T21:00:13.744GMT,34,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],6,1125000,8,1963000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5595,999,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,8.0
921,880,0,880,2024-06-07T21:00:12.149GMT,7,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,798000,5,1917000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5924,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8.0
541,500,0,500,2024-06-07T21:00:11.078GMT,17,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],2,1122000,5,2506000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5926,999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
1563,1522,0,1522,2024-06-07T21:00:13.499GMT,31,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],16,3680000,8,2187000,4834,4,0,0,0,0,0,0,0,0,0,10,0,0,0,5595,999,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8.0
657,616,0,616,2024-06-07T21:00:11.618GMT,15,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1636000,4,2262000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5597,999,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
765,724,0,724,2024-06-07T21:00:11.841GMT,73,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],4,1084000,59,8780000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5899,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
1712,1671,0,1671,2024-06-07T21:00:13.778GMT,9,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,706000,1,1533000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5597,999,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8.0
1846,1805,0,1805,2024-06-07T21:00:13.892GMT,6,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,692000,2,1991000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5944,999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
