taskId,index,attempt,partitionId,launchTime,duration,executorId,host,status,taskLocality,speculative,accumulatorUpdates,taskMetrics_executorDeserializeTime,taskMetrics_executorDeserializeCpuTime,taskMetrics_executorRunTime,taskMetrics_executorCpuTime,taskMetrics_resultSize,taskMetrics_jvmGcTime,taskMetrics_resultSerializationTime,taskMetrics_memoryBytesSpilled,taskMetrics_diskBytesSpilled,taskMetrics_peakExecutionMemory,taskMetrics_inputMetrics_bytesRead,taskMetrics_inputMetrics_recordsRead,taskMetrics_outputMetrics_bytesWritten,taskMetrics_outputMetrics_recordsWritten,taskMetrics_shuffleReadMetrics_remoteBlocksFetched,taskMetrics_shuffleReadMetrics_localBlocksFetched,taskMetrics_shuffleReadMetrics_fetchWaitTime,taskMetrics_shuffleReadMetrics_remoteBytesRead,taskMetrics_shuffleReadMetrics_remoteBytesReadToDisk,taskMetrics_shuffleReadMetrics_localBytesRead,taskMetrics_shuffleReadMetrics_recordsRead,taskMetrics_shuffleReadMetrics_remoteReqsDuration,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_corruptMergedBlockChunks,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_mergedFetchFallbackCount,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBlocksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedChunksFetched,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_localMergedBytesRead,taskMetrics_shuffleReadMetrics_shufflePushReadMetrics_remoteMergedReqsDuration,taskMetrics_shuffleWriteMetrics_bytesWritten,taskMetrics_shuffleWriteMetrics_writeTime,taskMetrics_shuffleWriteMetrics_recordsWritten,schedulerDelay,gettingResultTime,stage_uid
358,317,0,317,2024-06-07T20:56:16.835GMT,92,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],5,1292000,67,5875000,4834,0,1,0,0,0,0,0,0,0,0,10,0,0,0,5912,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,8.0
79,38,0,38,2024-06-07T20:56:15.573GMT,182,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],21,2588000,79,10666000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5908,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,8.0
807,766,0,766,2024-06-07T20:56:18.204GMT,55,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],3,813000,45,6445000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5592,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8.0
195,154,0,154,2024-06-07T20:56:16.402GMT,18,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,710000,9,3183000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5989,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8.0
437,396,0,396,2024-06-07T20:56:17.297GMT,11,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,942000,7,2741000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5944,999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.0
1335,1294,0,1294,2024-06-07T20:56:19.596GMT,5,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,625000,1,1148000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5926,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
1693,1652,0,1652,2024-06-07T20:56:20.109GMT,10,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,595000,7,2176000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5926,999,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.0
1561,1520,0,1520,2024-06-07T20:56:19.821GMT,9,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,780000,3,1461000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5594,999,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8.0
1172,1131,0,1131,2024-06-07T20:56:19.465GMT,8,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,838000,4,1608000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5978,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8.0
897,856,0,856,2024-06-07T20:56:18.579GMT,82,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],27,2199000,21,3655000,4834,0,1,0,0,0,0,0,0,0,0,10,0,0,0,5913,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,8.0
474,433,0,433,2024-06-07T20:56:17.340GMT,88,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],31,2421000,48,5048000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5917,998,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8.0
1410,1369,0,1369,2024-06-07T20:56:19.671GMT,6,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,779000,2,1452000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5923,999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
767,726,0,726,2024-06-07T20:56:17.999GMT,12,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],1,1028000,7,2017000,4791,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5994,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.0
1056,1015,0,1015,2024-06-07T20:56:18.990GMT,77,driver,192.168.0.30,SUCCESS,PROCESS_LOCAL,False,[],0,809000,67,7748000,4748,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5915,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.0
