status,stageId,attemptId,numTasks,numActiveTasks,numCompleteTasks,numFailedTasks,numKilledTasks,numCompletedIndices,submissionTime,firstTaskLaunchedTime,completionTime,executorDeserializeTime,executorDeserializeCpuTime,executorRunTime,executorCpuTime,resultSize,jvmGcTime,resultSerializationTime,memoryBytesSpilled,diskBytesSpilled,peakExecutionMemory,inputBytes,inputRecords,outputBytes,outputRecords,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleLocalBytesRead,shuffleReadBytes,shuffleReadRecords,shuffleCorruptMergedBlockChunks,shuffleMergedFetchFallbackCount,shuffleMergedRemoteBlocksFetched,shuffleMergedLocalBlocksFetched,shuffleMergedRemoteChunksFetched,shuffleMergedLocalChunksFetched,shuffleMergedRemoteBytesRead,shuffleMergedLocalBytesRead,shuffleRemoteReqsDuration,shuffleMergedRemoteReqsDuration,shuffleWriteBytes,shuffleWriteTime,shuffleWriteRecords,name,description,details,schedulingPool,rddIds,accumulatorUpdates,killedTasksSummary,resourceProfileId,peakExecutorMetrics,isShufflePushEnabled,shuffleMergersCount
COMPLETE,15,0,1,0,1,0,0,1,2024-06-07T20:56:23.746GMT,2024-06-07T20:56:23.779GMT,2024-06-07T20:56:23.926GMT,10,9180000,112,107478000,4038,0,1,0,0,0,0,0,0,0,0,2000,0,0,0,118000,118000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,spill,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[38, 37, 36]",[],{},0,"{'JVMHeapMemory': 0, 'JVMOffHeapMemory': 0, 'OnHeapExecutionMemory': 0, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 0, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 0, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 0, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 0, 'MinorGCTime': 0, 'MajorGCCount': 0, 'MajorGCTime': 0, 'TotalGCTime': 0}",False,0
SKIPPED,14,0,2000,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[35, 27, 32, 29, 26, 34, 28, 31, 33, 30]",[],{},0,,False,0
SKIPPED,13,0,10,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[20, 17, 5, 6, 19, 2, 18, 0, 1, 16, 3, 7, 4]",[],{},0,,False,0
SKIPPED,12,0,10,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[25, 5, 6, 21, 2, 0, 1, 23, 3, 24, 22, 7, 4]",[],{},0,,False,0
COMPLETE,11,0,2000,0,2000,0,0,2000,2024-06-07T20:56:20.841GMT,2024-06-07T20:56:20.879GMT,2024-06-07T20:56:23.585GMT,2438,1847053000,17374,3862985000,9665452,408,218,0,0,0,8484736,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000,2183652528,2000,count at NativeMethodAccessorImpl.java:0,spill,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[35, 27, 32, 29, 26, 34, 28, 31, 33, 30]",[],{},0,"{'JVMHeapMemory': 284251112, 'JVMOffHeapMemory': 173890832, 'OnHeapExecutionMemory': 0, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 9725459, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 9725459, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 105932, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 53, 'MinorGCTime': 416, 'MajorGCCount': 5, 'MajorGCTime': 347, 'TotalGCTime': 763}",False,0
SKIPPED,10,0,10,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[20, 17, 5, 6, 19, 2, 18, 0, 1, 16, 3, 7, 4]",[],{},0,,False,0
SKIPPED,9,0,10,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[25, 5, 6, 21, 2, 0, 1, 23, 3, 24, 22, 7, 4]",[],{},0,,False,0
COMPLETE,8,0,2000,0,2000,0,0,2000,2024-06-07T20:56:14.947GMT,2024-06-07T20:56:15.007GMT,2024-06-07T20:56:20.633GMT,6985,2335570000,32389,5859777000,9566176,967,1097,0,0,0,0,0,0,0,0,20000,40,0,0,11639114,11639114,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,spill,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[30, 27, 29, 26, 28]",[],{},0,"{'JVMHeapMemory': 0, 'JVMOffHeapMemory': 0, 'OnHeapExecutionMemory': 0, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 0, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 0, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 0, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 0, 'MinorGCTime': 0, 'MajorGCCount': 0, 'MajorGCTime': 0, 'TotalGCTime': 0}",False,0
SKIPPED,7,0,10,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[25, 5, 6, 21, 2, 0, 1, 23, 3, 24, 22, 7, 4]",[],{},0,,False,0
SKIPPED,6,0,10,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,count at NativeMethodAccessorImpl.java:0,,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[20, 17, 5, 6, 19, 2, 18, 0, 1, 16, 3, 7, 4]",[],{},0,,False,0
COMPLETE,5,0,10,0,10,0,0,10,2024-06-07T20:56:11.965GMT,2024-06-07T20:56:14.256GMT,2024-06-07T20:56:14.782GMT,663,64589000,3694,1357172000,34279,140,6,0,0,62914560,1022800,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5819557,116969460,1000000,count at NativeMethodAccessorImpl.java:0,spill,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[25, 5, 6, 21, 2, 0, 1, 23, 3, 24, 22, 7, 4]",[],{},0,"{'JVMHeapMemory': 0, 'JVMOffHeapMemory': 0, 'OnHeapExecutionMemory': 0, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 0, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 0, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 0, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 0, 'MinorGCTime': 0, 'MajorGCCount': 0, 'MajorGCTime': 0, 'TotalGCTime': 0}",False,0
COMPLETE,4,0,10,0,10,0,0,10,2024-06-07T20:56:11.900GMT,2024-06-07T20:56:11.948GMT,2024-06-07T20:56:14.339GMT,671,79383000,21665,8412359000,34494,2260,34,0,0,62914560,1022800,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5819557,200453571,1000000,count at NativeMethodAccessorImpl.java:0,spill,"org.apache.spark.sql.Dataset.count(Dataset.scala:3613)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[20, 17, 5, 6, 19, 2, 18, 0, 1, 16, 3, 7, 4]",[],{},0,"{'JVMHeapMemory': 259165448, 'JVMOffHeapMemory': 162776208, 'OnHeapExecutionMemory': 62914560, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 1102605, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 64017165, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 50126, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 13, 'MinorGCTime': 200, 'MajorGCCount': 4, 'MajorGCTime': 200, 'TotalGCTime': 400}",False,0
